trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,False,"{'a': 0.3, 'e': 0.8253356149096783}",30,0,-92.6321107487151,"{0: 19, 1: 0, 2: 10, 3: 1, 4: 0}",0
42,False,"{'a': 0.3, 'e': 0.8167734469008229}",20,9,-5.53257854766999,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.8080275083121519}",20,0,-103.88027408511475,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
44,False,"{'a': 0.3, 'e': 0.7990997669429512}",30,13,-41.7816081579707,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.3, 'e': 0.7899922314973652}",20,0,-82.77434304967146,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.3, 'e': 0.7807069511324469}",25,0,-115.12350845255486,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
47,False,"{'a': 0.3, 'e': 0.7712460149971067}",20,0,-51.60563152346893,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.3, 'e': 0.7616115517620617}",35,0,-185.95424665096527,"{0: 23, 1: 1, 2: 7, 3: 1, 4: 3}",0
49,False,"{'a': 0.3, 'e': 0.7518057291408949}",25,0,-162.84135303636637,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
50,False,"{'a': 0.3, 'e': 0.7418307534023282}",35,3,-55.66683655402332,"{0: 22, 1: 5, 2: 4, 3: 1, 4: 0}",1
51,False,"{'a': 0.3, 'e': 0.7316888688738209}",25,9,-13.955045765839625,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.3, 'e': 0.7213823574366063}",20,0,-51.44353876032178,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
53,False,"{'a': 0.3, 'e': 0.7109135380122773}",25,0,-79.8575916628337,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
