trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 0.35000000000000003, 'e': 0.32465246735834974}",25,19,0.9682338960275412,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.34, 'e': 0.31663676937905316}",25,14,17.903779769244405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.33, 'e': 0.30881897968801986}",25,5,36.383640523127454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.32000000000000006, 'e': 0.301194211912202}",25,0,24.259264690324127,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.31000000000000005, 'e': 0.29375770032353277}",20,10,-15.222744610164911,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.30000000000000004, 'e': 0.2865047968601901}",30,0,-194.19720626320566,"{0: 21, 1: 0, 2: 3, 3: 2, 4: 4}",0
52,False,"{'a': 0.29000000000000004, 'e': 0.2794309682214073}",20,5,-20.197243658911436,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.28, 'e': 0.2725317930340126}",35,22,12.013054221919154,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.27, 'e': 0.26580295908892654}",20,7,21.19781416602396,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.26, 'e': 0.2592402606458915}",20,12,13.626817221309526,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.25, 'e': 0.25283959580474646}",25,14,19.92746843017633,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.24, 'e': 0.24659696394160643}",20,6,-30.02404209887415,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.22999999999999998, 'e': 0.24050846320834213}",25,7,21.58062000195593,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.22000000000000008, 'e': 0.23457028809379762}",30,6,12.975016316592182,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.21000000000000008, 'e': 0.22877872704522242}",25,16,17.50335301620759,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.20000000000000007, 'e': 0.22313016014842982}",25,10,-38.53957065980398,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
62,False,"{'a': 0.19000000000000006, 'e': 0.21762105686523284}",30,19,5.902385470300552,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.18000000000000005, 'e': 0.21224797382674304}",30,0,-75.28927110130745,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
64,False,"{'a': 0.17000000000000004, 'e': 0.2070075526811526}",25,11,11.969655012826673,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.16000000000000003, 'e': 0.20189651799465538}",20,0,-44.09192685722281,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.15000000000000002, 'e': 0.19691167520419406}",20,4,20.418300469271994,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.14, 'e': 0.19204990862075408}",20,16,5.348666699368173,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.13, 'e': 0.18730817948195702}",25,14,11.754489394270632,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.12, 'e': 0.1826835240527346}",20,15,9.113462526672194,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.10999999999999999, 'e': 0.1781730517728984}",25,15,16.152393128639382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.1, 'e': 0.17377394345044514}",30,18,19.975638732071666,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.1, 'e': 0.16948344949947006}",25,6,16.249475115344367,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.1, 'e': 0.16529888822158653}",25,10,5.465465881101872,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.1, 'e': 0.16121764412977674}",20,0,-13.26863286216507,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.1, 'e': 0.1572371663136276}",20,11,14.624985938861359,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.1, 'e': 0.15335496684492847}",20,13,-13.89783587764176,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.14956861922263504}",25,16,7.665007795898127,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.14587575685622736}",20,13,12.941340320219783,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.14227407158651353}",35,17,24.563557256015695,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.13876131224295524}",30,20,16.681819568040616,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.1, 'e': 0.1353352832366127}",20,7,25.727111066661433,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.13199384318783022}",25,17,0.8082606358944673,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.12873490358780418}",25,8,15.262117710990616,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.1255564274931972}",25,17,9.22376295659355,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.1224564282529819}",25,17,14.694975904872905,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.11943296826671962}",25,17,14.602462998916,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.11648415777349697}",20,0,30.919309797546035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.1, 'e': 0.11360815367076371}",25,3,14.681939390026516,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.11080315836233387}",30,18,10.811516195064371,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.10806741863482926}",20,16,5.652087891013544,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.10539922456186433}",20,4,-15.801997411965647,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.1, 'e': 0.1027969084352864}",20,9,18.348821020472098,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1, 'e': 0.1002588437228037}",20,10,14.816640018914503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.1, 'e': 0.09778344405135005}",20,5,15.052824089455113,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.1, 'e': 0.09536916221554961}",25,0,-4.262548964838977,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.1, 'e': 0.09301448921066349}",20,14,9.207794349308216,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.09071795328941247}",35,20,16.401355925034714,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.08847811904208727}",20,7,22.310077949214033,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.0862935864993705}",25,0,36.60879733523439,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.1, 'e': 0.08416299025731036}",20,12,13.439560616674909,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.0820849986238988}",20,10,6.374327114083605,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.08005831278672051}",20,10,18.451839566277247,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1, 'e': 0.07808166600115313}",30,16,22.828065799786764,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.1, 'e': 0.07615382279861033}",30,15,11.887133699464618,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.07427357821433388}",20,8,13.818356829632293,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.07243975703425146}",20,14,-1.7686728345283604,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.1, 'e': 0.07065121306042957}",20,4,31.50200576914229,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.06890682839466256}",20,6,27.404677304404466,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.06720551273974976}",20,10,17.719118895491047,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.06554620271802433}",30,15,21.97120383468068,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.06392786120670757}",25,7,18.764204191024962,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.0623494766896734}",35,23,22.844554639406653,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.06081006262521795}",25,13,21.155664466505815,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.1, 'e': 0.05930865682943872}",20,16,7.720003350811283,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.1, 'e': 0.057844320874838456}",20,11,17.181781297199876,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.05641613950377735}",20,6,-8.753364506876096,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.05502322005640721}",25,13,23.305611565563318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.05366469191273011}",30,14,28.790440732314327,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1, 'e': 0.05233970594843238}",25,16,-27.223969369262615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.1, 'e': 0.051047434004154395}",30,6,7.06681466163421,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
121,False,"{'a': 0.1, 'e': 0.049787068367863944}",20,13,12.795902695178691,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,23.328105203997854,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,41.5873986378492,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,16,9.415290294223437,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,20.506312927200256,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,12,32.299338039540714,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,12,23.053754763548888,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,11,14.85629261901396,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,5,21.19757976561162,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,15,8.47380428241649,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,10,39.49485521899163,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,4,23.18159335367596,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,9,30.36012332855548,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,21,19.548884448514805,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,21,21.387844624555953,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,13,10.829741577418325,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,14,8.509554560896287,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,13,33.709683736028055,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,8,21.1205545380498,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,15,17.431383140995916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,10,20.304981141233355,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
